stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-left,ocean-right,Filler,L,0,white-background
Circle_Find_Prime,circle-yellow,triangle-red,Prime-Shape-,L,0,white-background
Star_Where_Prime,circle-green,star-blue,Prime-Shape-Same,R,1,white-background
Red_Where_Prime,heart-red,circle-blue,Prime-Color-Switch,L,0,white-background
Triangle_Find_Prime,heart-red,triangle-blue,Prime-Shape-Switch,R,1,white-background
Green_Where_Prime,heart-yellow,star-green,Prime-Color-Switch,R,1,white-background
Red_Find_Prime,triangle-red,star-blue,Prime-Color-Same,L,0,white-background
Green_Find_Prime,circle-yellow,triangle-green,Prime-Color-Same,R,1,white-background
Heart_Where_Prime,star-yellow,heart-blue,Prime-Shape-Switch,R,1,white-background
Yellow_Find_Prime,star-yellow,triangle-blue,Prime-Color-Switch,L,0,white-background
Blue_Where_Prime,circle-blue,star-red,Prime-Color-Same,L,0,white-background
Heart_Find_Prime,heart-green,triangle-red,Prime-Shape-Switch,L,0,white-background
Circle_Where_Prime,heart-yellow,circle-red,Prime-Shape-Same,R,1,white-background
Blue_Where_Neutral,heart-blue,triangle-yellow,Neutral-Color-,L,0,white-background
Red_Find_Neutral,triangle-green,star-red,Neutral-Color-Same,R,1,white-background
Heart_Find_Neutral,star-blue,heart-green,Neutral-Shape-Switch,R,1,white-background
Blue_Where_Neutral,triangle-blue,circle-green,Neutral-Color-Switch,L,0,white-background
Yellow_Find_Neutral,circle-blue,heart-yellow,Neutral-Color-Same,R,1,white-background
Triangle_Where_Neutral,star-green,triangle-yellow,Neutral-Shape-Switch,R,1,white-background
Circle_Where_Neutral,triangle-yellow,circle-red,Neutral-Shape-Same,R,1,white-background
Star_Find_Neutral,star-red,heart-green,Neutral-Shape-Same,L,0,white-background
Yellow_Find_Neutral,star-green,circle-yellow,Neutral-Color-Switch,R,1,white-background
Triangle_Where_Neutral,triangle-green,heart-red,Neutral-Shape-Switch,L,0,white-background
Star_Find_Neutral,star-yellow,circle-red,Neutral-Shape-Same,L,0,white-background
Green_Where_Neutral,circle-green,heart-blue,Neutral-Color-Switch,L,0,white-background
End,fireworks-left,fireworks-right,Filler,L,0,white-background
